Date,Open,High,Low,Close,Adj Close,Volume
2014-04-28,3.110000,3.130000,2.980000,3.070000,3.032618,84285400
2014-04-29,3.060000,3.110000,3.000000,3.070000,3.032618,58392700
2014-04-30,3.050000,3.190000,3.050000,3.190000,3.151157,58855600
2014-05-01,3.170000,3.230000,3.170000,3.220000,3.180792,62724500
2014-05-02,3.210000,3.260000,3.210000,3.240000,3.200548,54285500
2014-05-05,3.220000,3.240000,3.170000,3.230000,3.190670,24404300
2014-05-06,3.200000,3.230000,3.180000,3.190000,3.151157,27073300
2014-05-07,3.200000,3.210000,3.120000,3.150000,3.111645,42983200
2014-05-08,3.140000,3.200000,3.140000,3.150000,3.111645,35684700
2014-05-09,3.150000,3.160000,3.120000,3.160000,3.121522,31161200
2014-05-12,3.160000,3.220000,3.150000,3.200000,3.161035,30458600
2014-05-13,3.200000,3.290000,3.200000,3.270000,3.230183,68940400
2014-05-14,3.260000,3.280000,3.200000,3.220000,3.180792,45144800
2014-05-15,3.200000,3.200000,3.090000,3.150000,3.111645,61971700
2014-05-16,3.150000,3.160000,3.090000,3.120000,3.082010,68014100
2014-05-19,3.100000,3.170000,3.100000,3.160000,3.121522,45629400
2014-05-20,3.150000,3.210000,3.150000,3.170000,3.131401,42835600
2014-05-21,3.180000,3.230000,3.160000,3.170000,3.131401,51141900
2014-05-22,3.170000,3.280000,3.170000,3.270000,3.230183,80819800
2014-05-23,3.280000,3.300000,3.240000,3.270000,3.230183,51229400
2014-05-27,3.270000,3.330000,3.260000,3.320000,3.279574,47394100
2014-05-28,3.300000,3.330000,3.290000,3.300000,3.259818,30337400
2014-05-29,3.310000,3.360000,3.300000,3.320000,3.279574,100353600
2014-05-30,3.330000,3.330000,3.220000,3.280000,3.240062,94038600
2014-06-02,3.280000,3.320000,3.270000,3.280000,3.240062,32267900
2014-06-03,3.280000,3.320000,3.270000,3.300000,3.259818,54393100
2014-06-04,3.290000,3.350000,3.290000,3.340000,3.299331,36710200
2014-06-05,3.340000,3.350000,3.310000,3.320000,3.279574,34320600
2014-06-06,3.330000,3.360000,3.320000,3.360000,3.319087,31756400
2014-06-09,3.340000,3.400000,3.330000,3.370000,3.328965,36871100
2014-06-10,3.340000,3.370000,3.340000,3.350000,3.309209,65699500
2014-06-11,3.320000,3.360000,3.310000,3.350000,3.309209,44211600
2014-06-12,3.340000,3.390000,3.310000,3.340000,3.299331,35207200
2014-06-13,3.340000,3.350000,3.320000,3.340000,3.299331,18846900
2014-06-16,3.310000,3.360000,3.310000,3.330000,3.289452,31989400
2014-06-17,3.320000,3.380000,3.320000,3.370000,3.328965,54493400
2014-06-18,3.370000,3.470000,3.370000,3.450000,3.407991,86221200
2014-06-19,3.430000,3.490000,3.410000,3.460000,3.417869,66144900
2014-06-20,3.470000,3.480000,3.380000,3.390000,3.348722,71628800
2014-06-23,3.390000,3.430000,3.380000,3.430000,3.388235,27239800
2014-06-24,3.420000,3.450000,3.380000,3.400000,3.358601,35837300
2014-06-25,3.380000,3.430000,3.380000,3.430000,3.388235,57101600
2014-06-26,3.430000,3.460000,3.400000,3.460000,3.417869,38216400
2014-06-27,3.450000,3.470000,3.420000,3.430000,3.388235,91862400
2014-06-30,3.440000,3.480000,3.430000,3.460000,3.417869,44413600
2014-07-01,3.470000,3.490000,3.410000,3.440000,3.398113,55288900
2014-07-02,3.440000,3.490000,3.430000,3.450000,3.407991,38700700
2014-07-03,3.450000,3.480000,3.450000,3.460000,3.417869,10088400
2014-07-07,3.440000,3.450000,3.400000,3.430000,3.388235,39732000
2014-07-08,3.410000,3.420000,3.320000,3.370000,3.328965,62866700
2014-07-09,3.360000,3.390000,3.340000,3.350000,3.309209,56447200
2014-07-10,3.290000,3.390000,3.280000,3.380000,3.338844,40123700
2014-07-11,3.370000,3.400000,3.360000,3.380000,3.338844,19030900
2014-07-14,3.400000,3.410000,3.380000,3.400000,3.358601,21941600
2014-07-15,3.390000,3.410000,3.360000,3.380000,3.338844,39308500
2014-07-16,3.450000,3.450000,3.400000,3.420000,3.378356,49353900
2014-07-17,3.400000,3.480000,3.400000,3.460000,3.417869,51437500
2014-07-18,3.470000,3.470000,3.430000,3.440000,3.398113,33554200
2014-07-21,3.420000,3.480000,3.410000,3.460000,3.417869,27288900
2014-07-22,3.470000,3.480000,3.460000,3.480000,3.437626,19981700
2014-07-23,3.470000,3.480000,3.430000,3.460000,3.417869,40438900
2014-07-24,3.460000,3.470000,3.430000,3.450000,3.407991,48590400
2014-07-25,3.430000,3.450000,3.420000,3.440000,3.398113,43975000
2014-07-28,3.430000,3.440000,3.360000,3.380000,3.338844,68907500
2014-07-29,3.480000,3.490000,3.380000,3.400000,3.358601,118612600
2014-07-30,3.430000,3.470000,3.400000,3.460000,3.417869,66853600
2014-07-31,3.440000,3.450000,3.380000,3.380000,3.338844,42030800
2014-08-01,3.390000,3.420000,3.300000,3.310000,3.269696,52410200
2014-08-04,3.320000,3.370000,3.320000,3.340000,3.299331,28865500
2014-08-05,3.340000,3.380000,3.320000,3.370000,3.328965,35890500
2014-08-06,3.350000,3.380000,3.320000,3.360000,3.319087,45948300
2014-08-07,3.370000,3.390000,3.340000,3.360000,3.319087,36162900
2014-08-08,3.350000,3.440000,3.350000,3.440000,3.398113,67690600
2014-08-11,3.420000,3.440000,3.410000,3.430000,3.388235,23591000
2014-08-12,3.420000,3.440000,3.390000,3.400000,3.358601,33683900
2014-08-13,3.420000,3.490000,3.420000,3.490000,3.447504,63541700
2014-08-14,3.480000,3.550000,3.480000,3.550000,3.506773,60259700
2014-08-15,3.550000,3.580000,3.530000,3.550000,3.506773,53873100
2014-08-18,3.560000,3.570000,3.510000,3.550000,3.506773,41887100
2014-08-19,3.550000,3.570000,3.540000,3.560000,3.516652,23263400
2014-08-20,3.550000,3.580000,3.550000,3.570000,3.526530,27101400
2014-08-21,3.560000,3.580000,3.550000,3.580000,3.536408,23739100
2014-08-22,3.580000,3.580000,3.550000,3.580000,3.536408,18751300
2014-08-25,3.560000,3.600000,3.560000,3.590000,3.546287,52779900
2014-08-26,3.600000,3.600000,3.560000,3.560000,3.516652,33952700
2014-08-27,3.550000,3.600000,3.550000,3.590000,3.546287,40092000
2014-08-28,3.590000,3.620000,3.570000,3.600000,3.556165,35080600
2014-08-29,3.620000,3.630000,3.590000,3.630000,3.585800,33778600
2014-09-02,3.620000,3.640000,3.610000,3.640000,3.595678,30771200
2014-09-03,3.630000,3.640000,3.610000,3.640000,3.595678,32299100
2014-09-04,3.630000,3.640000,3.580000,3.600000,3.556165,40516500
2014-09-05,3.590000,3.610000,3.580000,3.600000,3.556165,21274200
2014-09-08,3.580000,3.610000,3.570000,3.580000,3.536408,25469100
2014-09-09,3.570000,3.590000,3.560000,3.570000,3.526530,30579500
2014-09-10,3.610000,3.630000,3.600000,3.620000,3.575922,28922700
2014-09-11,3.600000,3.630000,3.600000,3.620000,3.575922,21068300
2014-09-12,3.600000,3.630000,3.590000,3.610000,3.566043,21784700
2014-09-15,3.600000,3.610000,3.570000,3.590000,3.546287,29439200
2014-09-16,3.580000,3.610000,3.570000,3.610000,3.566043,40441700
2014-09-17,3.590000,3.650000,3.590000,3.630000,3.585800,34069900
2014-09-18,3.620000,3.650000,3.620000,3.640000,3.595678,22477000
2014-09-19,3.630000,3.640000,3.570000,3.570000,3.526530,75679300
2014-09-22,3.580000,3.590000,3.520000,3.520000,3.477139,50281500
2014-09-23,3.490000,3.580000,3.480000,3.480000,3.437626,57696200
2014-09-24,3.460000,3.570000,3.450000,3.530000,3.487017,46119900
2014-09-25,3.540000,3.550000,3.480000,3.480000,3.437626,49483400
2014-09-26,3.480000,3.520000,3.480000,3.510000,3.467261,29307300
2014-09-29,3.490000,3.530000,3.470000,3.500000,3.457383,18507600
2014-09-30,3.510000,3.530000,3.490000,3.490000,3.447504,23365800
2014-10-01,3.480000,3.500000,3.410000,3.420000,3.378356,54769400
2014-10-02,3.420000,3.430000,3.320000,3.390000,3.348722,51563900
2014-10-03,3.380000,3.430000,3.380000,3.420000,3.378356,21252100
2014-10-06,3.430000,3.450000,3.370000,3.400000,3.358601,22379200
2014-10-07,3.390000,3.400000,3.350000,3.360000,3.319087,16466600
2014-10-08,3.360000,3.420000,3.320000,3.410000,3.368478,40298900
2014-10-09,3.380000,3.420000,3.280000,3.280000,3.240062,55014500
2014-10-10,3.290000,3.300000,3.150000,3.170000,3.131401,49089100
2014-10-13,3.140000,3.260000,3.140000,3.190000,3.151157,50616600
2014-10-14,3.210000,3.270000,3.180000,3.250000,3.210427,58637400
2014-10-15,3.200000,3.290000,3.170000,3.260000,3.220304,72844800
2014-10-16,3.200000,3.290000,3.190000,3.280000,3.240062,35253400
2014-10-17,3.300000,3.330000,3.250000,3.270000,3.230183,31576900
2014-10-20,3.260000,3.330000,3.250000,3.330000,3.289452,28324300
2014-10-21,3.320000,3.390000,3.320000,3.380000,3.338844,15778700
2014-10-22,3.380000,3.390000,3.330000,3.330000,3.289452,13276000
2014-10-23,3.350000,3.370000,3.330000,3.370000,3.328965,17589400
2014-10-24,3.380000,3.380000,3.340000,3.370000,3.328965,11873300
2014-10-27,3.340000,3.360000,3.310000,3.350000,3.309209,18389500
2014-10-28,3.350000,3.380000,3.280000,3.330000,3.289452,38354100
2014-10-29,3.330000,3.370000,3.320000,3.350000,3.309209,43975400
2014-10-30,3.350000,3.390000,3.340000,3.380000,3.338844,25947800
2014-10-31,3.400000,3.450000,3.400000,3.430000,3.388235,40230900
2014-11-03,3.430000,3.490000,3.420000,3.480000,3.437626,25804400
2014-11-04,3.470000,3.480000,3.430000,3.480000,3.437626,30468400
2014-11-05,3.480000,3.500000,3.430000,3.490000,3.447504,40179000
2014-11-06,3.490000,3.500000,3.440000,3.450000,3.407991,30343200
2014-11-07,3.470000,3.470000,3.440000,3.460000,3.417869,28156000
2014-11-10,3.450000,3.490000,3.430000,3.490000,3.447504,28796000
2014-11-11,3.480000,3.510000,3.470000,3.510000,3.467261,17020500
2014-11-12,3.490000,3.520000,3.480000,3.490000,3.447504,23324700
2014-11-13,3.480000,3.510000,3.480000,3.510000,3.467261,15186400
2014-11-14,3.520000,3.530000,3.500000,3.530000,3.487017,19269400
2014-11-17,3.520000,3.540000,3.490000,3.520000,3.477139,18566500
2014-11-18,3.510000,3.580000,3.510000,3.560000,3.516652,25132600
2014-11-19,3.550000,3.590000,3.510000,3.520000,3.477139,28955600
2014-11-20,3.520000,3.550000,3.490000,3.550000,3.506773,22046700
